Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
5528,n ɛ ʔ ⁴,92,n ɛ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,0:1
7105,n a k,92,n a k -,,expert,Hill2017,LingPy:SCA,,0:1
672,k ʐ u a t ⁵⁵,153,k ʐ u a t ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
674,k j o ʔ ²¹,153,k j o - ʔ ²¹,,expert,Hill2017,LingPy:SCA,,0:1
675,k j a ʔ ³¹,153,k j a - ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
676,ŋ aː m ⁵⁵,1031,ŋ aː m ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
677,k j ɔ ʔ ³¹,153,k j ɔ - ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
678,k ʐ o t ⁵⁵,153,k ʐ o - t ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
5630,tɕʰ ɑ̃ ∼ ⁵⁵,154,tɕʰ ɑ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
5650,e ⁵⁵,152,e - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7107,i j ⁵⁵,152,i j ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
5251,m̥ ɑ̃ ∼ ²²,604,m̥ ɑ̃ ∼ ²²,,expert,Hill2017,LingPy:SCA,,0:1
7109,m̥ a n,604,m̥ a n -,,expert,Hill2017,LingPy:SCA,,0:1
3334,ts ɿ ⁵⁵,605,ts ɿ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
3339,tʃ ɔ ³¹,605,tʃ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
3342,k ɛː ³¹,1131,k ɛː ³¹,,expert,Hill2017,LingPy:SCA,,0:1
3343,tʃ ɔ ³¹,605,tʃ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
3344,c ɛ ⁵⁵,1131,c ɛ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
3337,tʃ o ²¹,605,tʃ o ²¹,,expert,Hill2017,LingPy:SCA,,0:1
6142,ɕ i n ⁵⁵,1251,ɕ i n ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6201,n ɔ ʔ ³¹,92,n ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6237,m̥ ɑ̃ u ∼ ²²,34,m̥ ɑ̃ u ∼ ²²,,expert,Hill2017,LingPy:SCA,,0:1
6304,n o ʔ ²¹,92,n o ʔ ²¹,,expert,Hill2017,LingPy:SCA,,0:1
6430,n a ʔ ³¹,92,n a ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6593,k ɯ n ⁵⁵,1252,k ɯ n ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7111,m̥ ʊ ŋ,34,m̥ ʊ - ŋ -,,expert,Hill2017,LingPy:SCA,,0:1
5459,nʲ i ʔ ⁴ + p ɑ ʔ ⁴,209,nʲ i ʔ ⁴ - - - + p ɑ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,0:1
5459,nʲ i ʔ ⁴ + p ɑ ʔ ⁴,210,nʲ i ʔ ⁴ - - - + p ɑ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1:2
936,ə k ³⁵,211,ə k ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
938,tʃʰ a ʔ ⁵⁵,1032,tʃʰ a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
940,l ṵ ³⁵,18,l ṵ - ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
942,a ³¹ + s a n ⁵⁵,1033,a ³¹ + s a n ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
942,a ³¹ + s a n ⁵⁵,1034,a ³¹ + s a n ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
943,l a̰ u ³⁵,18,l a̰ u ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
944,ɤ k ³⁵,211,ɤ k ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
7113,nʲ a ts + p a t,209,- - - - nʲ a ts + p a t -,,expert,Hill2017,LingPy:SCA,,0:1
7113,nʲ a ts + p a t,210,- - - - nʲ a ts + p a t -,,expert,Hill2017,LingPy:SCA,,1:2
