ID,Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
16,6523,a ³¹ + l u m ³¹,p1292,a ³¹ + l u m ³¹,,expert,Hill2017,LingPy:SCA,,1
17,6523,a ³¹ + l u m ³¹,p2,a ³¹ + l u m ³¹,,expert,Hill2017,LingPy:SCA,,2
18,6583,tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹,p3,tʰ ɔ ʔ ⁵⁵ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,1
19,6583,tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹,p4,tʰ ɔ ʔ ⁵⁵ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,2
20,7095,a + tʰ a k,p1292,- - a + tʰ a k -,,expert,Hill2017,LingPy:SCA,,1
21,7095,a + tʰ a k,p3,- - a + tʰ a k -,,expert,Hill2017,LingPy:SCA,,2
22,2,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,p980,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
23,2,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,p1362,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
24,9,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,p6,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
25,9,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,p10,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
26,10,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,p6,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
27,10,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,p10,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
28,12,cʰ o t ⁵⁵,p969,cʰ o t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
29,13,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,p979,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
30,13,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,p7,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
31,14,a ³¹ + l a̰ p ⁵⁵,p1,a ³¹ + l a̰ p ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
32,14,a ³¹ + l a̰ p ⁵⁵,p8,a ³¹ + l a̰ p ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
33,5656,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,p12,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,,expert,Hill2017,LingPy:SCA,,1
34,5656,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,p11,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,,expert,Hill2017,LingPy:SCA,,2
35,5656,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,p5,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,,expert,Hill2017,LingPy:SCA,,3
36,7097,a + k u n,p1,a + k u n,,expert,Hill2017,LingPy:SCA,,1
37,7097,a + k u n,p1363,a + k u n,,expert,Hill2017,LingPy:SCA,,2
38,129,tɕ a ⁵⁵,p1013,tɕ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
39,131,tʰ e n ²¹,p1012,tʰ e n ²¹,,expert,Hill2017,LingPy:SCA,,1
40,132,a ³¹ + k a i ⁵⁵,p1011,a ³¹ + k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
41,132,a ³¹ + k a i ⁵⁵,p986,a ³¹ + k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
42,135,p j ɔː ʔ ³¹,p1023,p j ɔː ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
43,136,k ɔ i ³⁵,p986,k ɔ i ³⁵,,expert,Hill2017,LingPy:SCA,,1
44,137,n ³¹ + c ɛ ⁵⁵,p55,n ³¹ + c ɛ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
45,137,n ³¹ + c ɛ ⁵⁵,p1014,n ³¹ + c ɛ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
46,5367,sʰ o ⁵⁵,p56,sʰ o - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
47,5368,nʲ ɑ̃ ∼ ⁵³,p987,nʲ ɑ̃ ∼ ⁵³,,expert,Hill2017,LingPy:SCA,,1
48,7099,tsʰ ə w ⁵⁵,p56,tsʰ ə w ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
49,6326,o̰ ⁵¹ + m a i ²¹,p66,o̰ ⁵¹ + m a i ²¹,,expert,Hill2017,LingPy:SCA,,1
50,6326,o̰ ⁵¹ + m a i ²¹,p65,o̰ ⁵¹ + m a i ²¹,,expert,Hill2017,LingPy:SCA,,2
51,6451,a ³¹ + a ⁵⁵,p1293,a ³¹ + a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
52,6451,a ³¹ + a ⁵⁵,p1294,a ³¹ + a ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
53,6524,a ³¹ + tʰ e ⁵¹,p1293,a ³¹ + tʰ e ⁵¹,,expert,Hill2017,LingPy:SCA,,1
54,6524,a ³¹ + tʰ e ⁵¹,p1295,a ³¹ + tʰ e ⁵¹,,expert,Hill2017,LingPy:SCA,,2
55,6584,ɔ ³¹ + m ɛ ³¹,p66,ɔ ³¹ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,1
56,6584,ɔ ³¹ + m ɛ ³¹,p65,ɔ ³¹ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,2
57,6618,ɑ u ʔ ⁴,p66,ɑ u ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
58,7101,ʊ k,p66,- ʊ k -,,expert,Hill2017,LingPy:SCA,,1
59,310,k ʐ ə ³¹,p86,k ʐ ə ³¹,,expert,Hill2017,LingPy:SCA,,1
60,312,k o̰ ²¹,p86,k - o̰ ²¹,,expert,Hill2017,LingPy:SCA,,1
61,313,k ɔ̰ ³⁵,p86,k - ɔ̰ ³⁵,,expert,Hill2017,LingPy:SCA,,1
62,316,k j iː ³³,p86,k j iː ³³,,expert,Hill2017,LingPy:SCA,,1
63,317,ɣ ə ³⁵,p86,ɣ - ə ³⁵,,expert,Hill2017,LingPy:SCA,,1
64,319,k ɯ ³¹,p86,k - ɯ ³¹,,expert,Hill2017,LingPy:SCA,,1
65,5671,tɕ i ⁵⁵,p86,tɕ - i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
66,7103,k r i ⁵⁵,p86,k r i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
67,367,l ɔ k ⁵⁵,p92,l ɔ k ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
68,369,n o ʔ ²¹,p92,n o ʔ ²¹,,expert,Hill2017,LingPy:SCA,,1
69,370,n a ʔ ³¹,p92,n a ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
70,373,n ɔː ʔ ³¹,p92,n ɔː ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
71,374,n ɔ ʔ ³¹,p92,n ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
72,375,n ɔ ʔ ⁵⁵,p92,n ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
73,5528,n ɛ ʔ ⁴,p92,n ɛ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
74,7105,n a k,p92,n a k -,,expert,Hill2017,LingPy:SCA,,1
75,672,k ʐ u a t ⁵⁵,p153,k ʐ u a t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
76,674,k j o ʔ ²¹,p153,k j o - ʔ ²¹,,expert,Hill2017,LingPy:SCA,,1
77,675,k j a ʔ ³¹,p153,k j a - ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
78,676,ŋ aː m ⁵⁵,p1031,ŋ aː m ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
79,677,k j ɔ ʔ ³¹,p153,k j ɔ - ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
80,678,k ʐ o t ⁵⁵,p153,k ʐ o - t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
81,5630,tɕʰ ɑ̃ ∼ ⁵⁵,p154,tɕʰ ɑ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
82,5650,e ⁵⁵,p152,e - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
83,7107,i j ⁵⁵,p152,i j ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
84,5251,m̥ ɑ̃ ∼ ²²,p604,m̥ ɑ̃ ∼ ²²,,expert,Hill2017,LingPy:SCA,,1
85,7109,m̥ a n,p604,m̥ a n -,,expert,Hill2017,LingPy:SCA,,1
86,3334,ts ɿ ⁵⁵,p605,ts ɿ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
87,3339,tʃ ɔ ³¹,p605,tʃ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,1
88,3342,k ɛː ³¹,p1131,k ɛː ³¹,,expert,Hill2017,LingPy:SCA,,1
89,3343,tʃ ɔ ³¹,p605,tʃ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,1
90,3344,c ɛ ⁵⁵,p1131,c ɛ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
91,3337,tʃ o ²¹,p605,tʃ o ²¹,,expert,Hill2017,LingPy:SCA,,1
92,6142,ɕ i n ⁵⁵,p1251,ɕ i n ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
93,6201,n ɔ ʔ ³¹,p92,n ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
94,6237,m̥ ɑ̃ u ∼ ²²,p34,m̥ ɑ̃ u ∼ ²²,,expert,Hill2017,LingPy:SCA,,1
95,6304,n o ʔ ²¹,p92,n o ʔ ²¹,,expert,Hill2017,LingPy:SCA,,1
96,6430,n a ʔ ³¹,p92,n a ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
97,6593,k ɯ n ⁵⁵,p1252,k ɯ n ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
98,7111,m̥ ʊ ŋ,p34,m̥ ʊ - ŋ -,,expert,Hill2017,LingPy:SCA,,1
99,5459,nʲ i ʔ ⁴ + p ɑ ʔ ⁴,p209,nʲ i ʔ ⁴ - - - + p ɑ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
100,5459,nʲ i ʔ ⁴ + p ɑ ʔ ⁴,p210,nʲ i ʔ ⁴ - - - + p ɑ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,2
101,936,ə k ³⁵,p211,ə k ³⁵,,expert,Hill2017,LingPy:SCA,,1
102,938,tʃʰ a ʔ ⁵⁵,p1032,tʃʰ a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
103,940,l ṵ ³⁵,p18,l ṵ - ³⁵,,expert,Hill2017,LingPy:SCA,,1
104,942,a ³¹ + s a n ⁵⁵,p1033,a ³¹ + s a n ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
105,942,a ³¹ + s a n ⁵⁵,p1034,a ³¹ + s a n ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
106,943,l a̰ u ³⁵,p18,l a̰ u ³⁵,,expert,Hill2017,LingPy:SCA,,1
107,944,ɤ k ³⁵,p211,ɤ k ³⁵,,expert,Hill2017,LingPy:SCA,,1
108,7113,nʲ a ts + p a t,p209,- - - - nʲ a ts + p a t -,,expert,Hill2017,LingPy:SCA,,1
109,7113,nʲ a ts + p a t,p210,- - - - nʲ a ts + p a t -,,expert,Hill2017,LingPy:SCA,,2
110,1039,x u i ⁵⁵,p233,x u i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
111,1037,s ə ʔ ⁵⁵,p1036,s ə ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
112,1043,k j ṵː ʔ ⁵⁵,p232,k j ṵː - ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
113,1044,f a i ⁵⁵,p233,f a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
114,1046,ts u i ³⁵,p1037,ts u i ³⁵,,expert,Hill2017,LingPy:SCA,,1
115,5416,tɕʰ ɑ u ʔ ⁴,p232,tɕʰ - ɑ u ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
116,1040,k j a̰ u ʔ ⁵⁵,p232,k j a̰ u ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
117,7115,kʰ r ʊ k,p232,kʰ r ʊ - k -,,expert,Hill2017,LingPy:SCA,,1
118,6144,n ɔ ʔ ⁵⁵,p35,n ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
119,6202,n ɔ ʔ ⁵⁵,p35,n ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
120,6239,s ɔ ⁵⁵,p36,s ɔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
121,6307,n o ʔ ²¹,p35,n o ʔ ²¹,,expert,Hill2017,LingPy:SCA,,1
122,6474,n ɔː ʔ ⁵⁵,p35,n ɔː ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
123,6536,n ɔ ʔ ⁵⁵,p35,n ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
124,6604,n a ʔ ⁵⁵,p35,n a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
125,1152,ʃ i t ⁵⁵,p247,- ʃ i t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
126,1153,ʃ ɛ ʔ ⁵⁵,p247,- ʃ ɛ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
127,1156,ʃ ɛ̰ t ⁵⁵,p247,- ʃ ɛ̰ t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
128,1157,ʃ ɛ ʔ ⁵⁵,p247,- ʃ ɛ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
129,1158,ç ɛ ʈ ⁵⁵,p247,- ç ɛ ʈ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
130,5575,ɕ i ʔ ⁴,p247,- ɕ i ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
131,1150,ɕ e t ⁵⁵,p247,- ɕ e t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
132,7117,r̥ j a t,p247,r̥ j a t -,,expert,Hill2017,LingPy:SCA,,1
133,1241,v e ³¹,p266,v e - ³¹,,expert,Hill2017,LingPy:SCA,,1
134,5272,w e ⁵⁵,p266,w e - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
135,1244,v ɛ ³¹,p266,v ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,1
136,1247,v ɛː ³³,p266,v ɛː - ³³,,expert,Hill2017,LingPy:SCA,,1
137,1248,v a ³⁵,p266,v a - ³⁵,,expert,Hill2017,LingPy:SCA,,1
138,1249,v ɛ ³¹,p266,v ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,1
139,7119,w i j ⁵⁵,p266,w i j ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
140,1243,v e ²¹,p266,v e - ²¹,,expert,Hill2017,LingPy:SCA,,1
141,7121,tʰ a ŋ ⁵⁵,p80,tʰ a - ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
142,6182,tʰ ɔ̃ ∼ ³⁵,p80,tʰ ɔ̃ - ∼ ³⁵,,expert,Hill2017,LingPy:SCA,,1
143,6223,tʰ a ŋ ⁵⁵,p80,tʰ a - ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
144,6281,tʰ ɔ ŋ ³¹,p80,tʰ ɔ - ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
145,6346,tʰ ɔ̃ ∼ ³⁵,p80,tʰ ɔ̃ - ∼ ³⁵,,expert,Hill2017,LingPy:SCA,,1
146,6428,tʰ u a ŋ ³¹,p80,tʰ u a ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
147,6501,tʰ ĩ ∼ ⁵⁵,p80,tʰ ĩ - ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
148,6576,tʰ a ŋ ²¹,p80,tʰ a - ŋ ²¹,,expert,Hill2017,LingPy:SCA,,1
149,1421,ŋ ɔ ³¹,p290,ŋ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,1
150,1424,ŋ a ³¹,p290,ŋ a ³¹,,expert,Hill2017,LingPy:SCA,,1
151,1428,ŋ ɔ ⁵⁵,p290,ŋ ɔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
152,1423,ŋ o ²¹,p290,ŋ o ²¹,,expert,Hill2017,LingPy:SCA,,1
153,1427,ŋ ³³,p290,ŋ - ³³,,expert,Hill2017,LingPy:SCA,,1
154,5524,ŋ ɑ ⁵⁵,p290,ŋ ɑ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
155,1429,ŋ ɔ ³¹,p290,ŋ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,1
156,7123,ŋ a ⁵⁵,p290,ŋ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
157,1534,m ə i ³¹,p308,m - ə i ³¹,,expert,Hill2017,LingPy:SCA,,1
158,5418,l e ⁵⁵,p308,- l e - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
159,1531,m i ³¹,p308,m - i - ³¹,,expert,Hill2017,LingPy:SCA,,1
160,1533,m j i ²¹,p308,m j i - ²¹,,expert,Hill2017,LingPy:SCA,,1
161,1539,m i ⁵⁵,p308,m - i - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
162,1538,p j i k ³¹,p308,p j i k ³¹,,expert,Hill2017,LingPy:SCA,,1
163,7125,l i j ⁵⁵,p308,- l i j ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
164,1537,m e i ³³,p308,m - e i ³³,,expert,Hill2017,LingPy:SCA,,1
165,5372,p j e ⁵³,p318,p j e - ⁵³,,expert,Hill2017,LingPy:SCA,,1
166,1581,p ʐ ə ŋ ³⁵,p318,p ʐ ə ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,1
167,1584,p j i ŋ ⁵⁵,p318,p j i ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
168,1586,p j a ŋ ³⁵,p318,p j a ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,1
169,1589,p j əː ŋ ⁵⁵,p318,p j əː ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
170,1590,p j a ŋ ⁵⁵,p318,p j a ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
171,1592,p ɯ ŋ ³⁵,p318,p - ɯ ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,1
172,7127,p l a nʲ ⁵³,p318,p l a nʲ ⁵³,,expert,Hill2017,LingPy:SCA,,1
173,5502,k ɑ̃ u ∼ ⁵⁵,p330,k ɑ̃ u ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
174,1655,k e ⁵¹,p331,k e - ⁵¹,,expert,Hill2017,LingPy:SCA,,1
175,1656,k a i ⁵⁵,p331,k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
176,1659,k ɛː ³¹,p331,k ɛː - ³¹,,expert,Hill2017,LingPy:SCA,,1
177,1660,k a i ³¹,p331,k a i ³¹,,expert,Hill2017,LingPy:SCA,,1
178,1661,ɕ ɛ ⁵⁵,p331,ɕ ɛ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
179,1653,tɕ i ⁵⁵,p331,tɕ i - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
180,7129,k ʊ ŋ ⁵⁵,p330,k ʊ - ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
181,1684,nʲ a u ⁵⁵,p334,nʲ a u - - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
182,1686,ŋ j u i ⁵¹,p334,ŋ j u - i ⁵¹,,expert,Hill2017,LingPy:SCA,,1
183,1687,ŋ j u ŋ ⁵⁵,p334,ŋ j u ŋ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
184,1690,ŋ j aː u ³¹,p334,ŋ j aː - u ³¹,,expert,Hill2017,LingPy:SCA,,1
185,1691,ŋ j u k ³¹,p334,ŋ j u k - ³¹,,expert,Hill2017,LingPy:SCA,,1
186,1692,ɲ a u ⁵⁵,p334,ɲ a u - - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
187,7131,ts i m ⁵⁵,p335,ts i m ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
188,7133,nʲ ə w,p334,nʲ - ə w - -,,expert,Hill2017,LingPy:SCA,,1
189,5614,s ẽ ∼ ⁵⁵,p335,s ẽ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
190,6156,k ʐ a k ⁵⁵,p48,k ʐ a k ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
191,6210,ɣ ɔ̃ ∼ ³¹,p49,ɣ ɔ̃ ∼ ³¹,,expert,Hill2017,LingPy:SCA,,1
192,6262,tʰ a n ⁵¹,p1268,tʰ a n ⁵¹,,expert,Hill2017,LingPy:SCA,,1
193,6375,m ɑ ²²,p47,m ɑ ²²,,expert,Hill2017,LingPy:SCA,,1
194,6483,k j ṵː ŋ ³³,p1267,k j ṵː ŋ ³³,,expert,Hill2017,LingPy:SCA,,1
195,6547,k ʐ a k ⁵⁵,p48,k ʐ a k ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
196,6613,ɣ ɔ̃ ∼ ⁵⁵,p49,ɣ ɔ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
197,7135,m a ²²,p47,m a ²²,,expert,Hill2017,LingPy:SCA,,1
198,6160,j ɔ̃ ∼ ³⁵,p57,- j ɔ̃ ∼ ³⁵,,expert,Hill2017,LingPy:SCA,,1
199,6213,tθ u ²²,p894,tθ u - - ²²,,expert,Hill2017,LingPy:SCA,,1
200,6264,j a̰ ŋ ²¹,p57,- j a̰ ŋ ²¹,,expert,Hill2017,LingPy:SCA,,1
201,6437,ŋ j a ŋ ³³,p57,ŋ j a ŋ ³³,,expert,Hill2017,LingPy:SCA,,1
202,6552,j ɔ̃ ∼ ³¹,p57,- j ɔ̃ ∼ ³¹,,expert,Hill2017,LingPy:SCA,,1
203,6635,n̥ʲ a ŋ ³¹,p57,n̥ʲ - a ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
204,6492,ɲ̊ a ŋ ³¹,p57,ɲ̊ - a ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
205,5664,l e ⁵⁵,p355,l e - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
206,1841,l i ³¹,p355,l i - ³¹,,expert,Hill2017,LingPy:SCA,,1
207,1843,l a i ²¹,p355,l a i ²¹,,expert,Hill2017,LingPy:SCA,,1
208,1844,l i ³¹,p355,l i - ³¹,,expert,Hill2017,LingPy:SCA,,1
209,1847,l aː i ³³,p355,l aː i ³³,,expert,Hill2017,LingPy:SCA,,1
210,1848,l a ³⁵,p355,l a - ³⁵,,expert,Hill2017,LingPy:SCA,,1
211,1849,l a i ³¹,p355,l a i ³¹,,expert,Hill2017,LingPy:SCA,,1
212,7137,l i j ⁵⁵,p355,l i j ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
213,5491,i ²² + t w ĩ ∼ ²²,p1074,i ²² + t w ĩ ∼ ²²,,expert,Hill2017,LingPy:SCA,,1
214,5491,i ²² + t w ĩ ∼ ²²,p357,i ²² + t w ĩ ∼ ²²,,expert,Hill2017,LingPy:SCA,,2
215,1853,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,p356,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
216,1853,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,p1070,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
217,1856,x j i ⁵¹ + m a ⁵⁵,p356,x j i ⁵¹ + m a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
218,1856,x j i ⁵¹ + m a ⁵⁵,p1071,x j i ⁵¹ + m a ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
219,1858,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,p1072,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
220,1858,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,p1073,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
221,1860,x j ɛ ³³ + m ŏ ³³,p356,x j ɛ ³³ + m ŏ ³³,,expert,Hill2017,LingPy:SCA,,1
222,1860,x j ɛ ³³ + m ŏ ³³,p1071,x j ɛ ³³ + m ŏ ³³,,expert,Hill2017,LingPy:SCA,,2
223,1861,tʃʰ ɛ̆ ³¹ + m ɛ ³¹,p1072,tʃʰ ɛ̆ ³¹ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,1
