ID,Language_ID,Language_name,Parameter_ID,Value,Source,Comment
1A-snd,ceba1235,Senadi,1A,Average,Welmers-1950,
1A-snc,sene1264,Seneca,1A,Small,Chafe-1967,
1A-snt,nucl1632,Sentani,1A,Small,Cowan-1965,
1A-sha,shan1277,Shan,1A,Average,Chao-1951;Chan-1980;Cheng-1973b,
1A-shs,shas1239,Shasta,1A,Moderately small,Silver-1964;Silver-1966,
1A-shk,ship1254,Shipibo-Konibo,1A,Moderately small,Loriot-et-al-1993;Valenzuela-et-al-2001,
1A-shi,nina1238,Shiriana,1A,Small,Migliazza-and-Grimes-1961,
1A-shu,shus1248,Shuswap,1A,Large,Kuipers-1974,
1A-sdh,sind1272,Sindhi,1A,Large,Nihalani-1999,
1A-snh,sinh1246,Sinhala,1A,Average,Coates-and-da-Silva-1960,
1A-sin,sion1247,Siona,1A,Moderately small,Wheeler-and-Wheeler-1962,
1A-srn,siri1273,Sirionó,1A,Average,Firestone-1965,
1A-sla,slav1253,Slave,1A,Moderately large,Rice-1978;Rice-1989;Rice-1976,
1A-som,soma1255,Somali,1A,Average,Armstrong-1964;Hyman-1981a;Farnetani-1981;Andrzejewsky-1956;Andrzejewsky-1955;Cardona-1981,
1A-soq,soqo1240,Soqotri,1A,Moderately large,Johnstone-1975;Leslau-1938,
1A-sor,sora1254,Sora,1A,Moderately small,Ramamurti-1986,
1A-spa,stan1288,Spanish,1A,Average,Harris-1969a;Saporta-and-Contreras-1962;Navarro-1961,
1A-squ,squa1248,Squamish,1A,Large,Kuipers-1967,
1A-sre,koho1244,Sre,1A,Moderately large,Manley-1972,
1A-sue,suen1241,Suena,1A,Small,Wilson-1969;Wilson-1974,
1A-sui,suii1243,Sui,1A,Large,Li-1948,
1A-sup,supy1237,Supyire,1A,Average,Carlson-1994,
1A-swa,swah1253,Swahili,1A,Moderately large,Polome-nd,
1A-tab,east2440,Taba,1A,Moderately small,Bowden-1997a;Bowden-and-Hajek-1999,
1A-tac,taca1256,Tacana,1A,Moderately small,Van-Wynen-and-Van-Wynen-1962;Key-1968,
1A-tag,taga1270,Tagalog,1A,Moderately small,Schachter-and-Otanes-1972;Bloomfield-1917,
1A-tma,tama1331,Tama,1A,Average,Tucker-and-Bryan-1966,
1A-tam,east2347,Tamang (Eastern),1A,Average,Mazaudon-1973,
1A-tmp,tamp1252,Tampulma,1A,Average,Bergman-et-al-1969,
1A-tok,taro1263,Tarok,1A,Moderately large,Robinson-1976,
1A-tsg,taus1251,Tausug,1A,Moderately small,Ashley-1963,
1A-teh,tehu1242,Tehuelche,1A,Moderately large,Fernandez-Garay-1998,
1A-tks,teke1280,Teke (Southern),1A,Average,Paulian-1975,
1A-tel,telu1262,Telugu,1A,Moderately large,Sastry-1972;Lisker-1963;Kelley-1963;Kostic-et-al-1977;Krishnamurti-1961,
1A-tmn,nucl1339,Temein,1A,Moderately small,Tucker-and-Bryan-1966,
1A-tne,timn1235,Temne,1A,Moderately small,Wilson-1961a;Dalby-1966,
1A-ter,tera1251,Tera,1A,Large,Newman-1970,
1A-ttn,tetu1245,Tetun,1A,Small,Morris-1984,
1A-tha,thai1261,Thai,1A,Average,Abramson-1962;Kalaya-and-Abramson-1999;Kruatrachue-1960;Noss-1954;Noss-1964;Haas-1964,
1A-tib,tibe1272,Tibetan (Standard Spoken),1A,Large,Denwood-1999,
1A-tic,ticu1245,Ticuna,1A,Moderately small,Anderson-1959;Anderson-1962,
1A-tgk,tiga1245,Tigak,1A,Small,Beaumont-1979,
1A-tgr,tigr1270,Tigré,1A,Moderately large,Klingenheben-1966;Palmer-1962,
1A-try,tiru1241,Tiruray,1A,Moderately small,Post-1966;Schlegel-1971,
1A-twn,nort1550,Tiwa (Northern),1A,Moderately large,Hoijer-and-Dozier-1949;Trager-1971,
1A-tiw,tiwi1244,Tiwi,1A,Average,Lee-1983;Anderson-and-Maddieson-1994;Lee-1984;Osborne-1974,
