ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
5153,5153,1384,,,
5404,5404,12,,,
5662,5662,1384,,,
5898,5898,1384,,,
6184,6184,1384,,,
6409,6409,1143,,,
6677,6677,1384,,,
6678,6678,1178,,,
6959,6959,1203,,,
6960,6960,844,,,
7227,7227,1260,,,
7479,7479,115,,,
230,230,587,,,
231,231,1385,,,
493,493,116,,,
494,494,1385,,,
495,495,1314,,,
930,930,1433,,,
1144,1144,1314,,,
1381,1381,521,,,
1575,1575,394,,,
1827,1827,1385,,,
1828,1828,521,,,
2092,2092,521,,,
2093,2093,1385,,,
2094,2094,1314,,,
2314,2314,1385,,,
2536,2536,1208,,,
2792,2792,1385,,,
2793,2793,521,,,
3056,3056,1385,,,
3057,3057,1314,,,
3276,3276,1385,,,
3568,3568,521,,,
3868,3868,474,,,
3869,3869,1385,,,
3870,3870,1314,,,
4177,4177,1385,,,
4374,4374,474,,,
4575,4575,521,,,
4831,4831,13,,,
4832,4832,1385,,,
4833,4833,521,,,
4834,4834,1314,,,
5079,5079,1385,,,
5339,5339,521,,,
5591,5591,116,,,
5592,5592,1385,,,
5593,5593,474,,,
5827,5827,521,,,
6128,6128,1385,,,
6129,6129,521,,,
6130,6130,1314,,,
6339,6339,1385,,,
6340,6340,521,,,
6341,6341,1314,,,
6600,6600,1385,,,
6893,6893,1385,,,
7157,7157,1385,,,
7408,7408,474,,,
7640,7640,1385,,,
46,46,1315,,,
283,283,1315,,,
760,760,1315,,,
978,978,1315,,,
1205,1205,1315,,,
1629,1629,1315,,,
1882,1882,1315,,,
2145,2145,1315,,,
2366,2366,1315,,,
2587,2587,1315,,,
2857,2857,1315,,,
3108,3108,1315,,,
3331,3331,1315,,,
3630,3630,1315,,,
3945,3945,1315,,,
4423,4423,1315,,,
4616,4616,1315,,,
4885,4885,1315,,,
5138,5138,1315,,,
5390,5390,1315,,,
5649,5649,1315,,,
5885,5885,1315,,,
6396,6396,1315,,,
6661,6661,1315,,,
6948,6948,1315,,,
7212,7212,1315,,,
7467,7467,1315,,,
71,71,1249,,,
312,312,238,,,
786,786,189,,,
1001,1001,164,,,
1230,1230,238,,,
1449,1449,238,,,
1659,1659,189,,,
1660,1660,238,,,
1910,1910,483,,,
1911,1911,189,,,
2169,2169,238,,,
2389,2389,238,,,
2390,2390,294,,,
2614,2614,238,,,
2615,2615,189,,,
2616,2616,620,,,
2882,2882,238,,,
3129,3129,189,,,
3367,3367,693,,,
3368,3368,189,,,
3659,3659,238,,,
3980,3980,798,,,
3981,3981,1269,,,
4249,4249,833,,,
4446,4446,238,,,
4641,4641,189,,,
4907,4907,238,,,
5167,5167,238,,,
5419,5419,294,,,
5420,5420,1251,,,
5674,5674,189,,,
5917,5917,693,,,
5918,5918,1073,,,
5919,5919,833,,,
6197,6197,189,,,
6198,6198,238,,,
6424,6424,693,,,
6700,6700,238,,,
6701,6701,189,,,
6702,6702,1186,,,
6977,6977,294,,,
7242,7242,238,,,
7489,7489,238,,,
132,132,14,,,
381,381,14,,,
847,847,14,,,
1053,1053,14,,,
1291,1291,14,,,
1502,1502,14,,,
1727,1727,14,,,
1987,1987,14,,,
2224,2224,14,,,
2448,2448,14,,,
2675,2675,14,,,
2676,2676,496,,,
2951,2951,14,,,
3188,3188,702,,,
3445,3445,14,,,
3739,3739,14,,,
4056,4056,14,,,
4304,4304,14,,,
4495,4495,14,,,
4717,4717,14,,,
4977,4977,14,,,
5231,5231,14,,,
5490,5490,14,,,
5736,5736,14,,,
5997,5997,14,,,
6255,6255,14,,,
6491,6491,14,,,
6788,6788,14,,,
7049,7049,14,,,
7310,7310,14,,,
7550,7550,14,,,
78,78,1209,,,
319,319,1209,,,
792,792,1305,,,
1006,1006,1209,,,
1237,1237,949,,,
1455,1455,1209,,,
1668,1668,949,,,
1919,1919,949,,,
1920,1920,1209,,,
2175,2175,1209,,,
2396,2396,1209,,,
2623,2623,949,,,
2624,2624,1209,,,
2894,2894,1209,,,
3136,3136,1209,,,
3380,3380,1084,,,
3668,3668,1209,,,
3990,3990,1209,,,
4255,4255,1138,,,
4452,4452,949,,,
4649,4649,1084,,,
4650,4650,1209,,,
4651,4651,949,,,
4914,4914,1209,,,
5173,5173,949,,,
5430,5430,1209,,,
5681,5681,949,,,
5929,5929,1084,,,
5930,5930,1209,,,
5931,5931,949,,,
6205,6205,1209,,,
6430,6430,1147,,,
6714,6714,1209,,,
6987,6987,1209,,,
7251,7251,1209,,,
7498,7498,1209,,,
220,220,807,,,
481,481,807,,,
921,921,807,,,
1136,1136,807,,,
1372,1372,807,,,
1566,1566,807,,,
1817,1817,807,,,
2082,2082,807,,,
2306,2306,807,,,
2527,2527,807,,,
2779,2779,807,,,
3045,3045,807,,,
3267,3267,943,,,
3558,3558,807,,,
3853,3853,807,,,
4161,4161,807,,,
4365,4365,807,,,
4566,4566,807,,,
4821,4821,807,,,
5067,5067,807,,,
5326,5326,807,,,
5581,5581,807,,,
5818,5818,807,,,
6117,6117,807,,,
6331,6331,807,,,
6590,6590,807,,,
6882,6882,807,,,
7147,7147,807,,,
7394,7394,1030,,,
7395,7395,807,,,
7629,7629,807,,,
229,229,987,,,
492,492,987,,,
929,929,987,,,
1143,1143,987,,,
1380,1380,987,,,
1574,1574,987,,,
1826,1826,987,,,
2091,2091,987,,,
2313,2313,987,,,
2535,2535,987,,,
2791,2791,987,,,
3054,3054,987,,,
3275,3275,987,,,
3567,3567,987,,,
3867,3867,987,,,
4176,4176,987,,,
4373,4373,987,,,
4574,4574,987,,,
4830,4830,987,,,
5076,5076,987,,,
5077,5077,987,,,
5338,5338,987,,,
5590,5590,987,,,
5826,5826,987,,,
6127,6127,987,,,
6338,6338,987,,,
6599,6599,987,,,
6892,6892,987,,,
7156,7156,987,,,
7407,7407,987,,,
7637,7637,987,,,
7638,7638,987,,,
115,115,15,,,
116,116,15,,,
364,364,15,,,
365,365,15,,,
830,830,522,,,
1039,1039,15,,,
1273,1273,522,,,
1710,1710,522,,,
1967,1967,15,,,
2208,2208,15,,,
2431,2431,15,,,
2663,2663,627,,,
2664,2664,15,,,
2934,2934,15,,,
2935,2935,15,,,
3170,3170,15,,,
3424,3424,15,,,
3717,3717,15,,,
3718,3718,15,,,
4034,4034,15,,,
4481,4481,522,,,
4700,4700,15,,,
4955,4955,15,,,
4956,4956,15,,,
5212,5212,522,,,
5471,5471,15,,,
5472,5472,15,,,
5720,5720,15,,,
5978,5978,15,,,
6240,6240,15,,,
6470,6470,15,,,
6765,6765,15,,,
7029,7029,15,,,
7030,7030,15,,,
7295,7295,15,,,
7533,7533,15,,,
7534,7534,15,,,
226,226,834,,,
489,489,16,,,
926,926,16,,,
1140,1140,16,,,
1377,1377,1085,,,
1571,1571,680,,,
1823,1823,16,,,
2087,2087,559,,,
2310,2310,16,,,
2532,2532,16,,,
2786,2786,16,,,
2787,2787,1210,,,
2788,2788,861,,,
3051,3051,16,,,
3272,3272,16,,,
3563,3563,742,,,
3564,3564,16,,,
3863,3863,16,,,
4170,4170,861,,,
4171,4171,16,,,
4172,4172,1210,,,
4370,4370,16,,,
4571,4571,1210,,,
4827,4827,1210,,,
5073,5073,16,,,
5333,5333,1210,,,
5334,5334,1085,,,
5586,5586,16,,,
5823,5823,16,,,
6124,6124,16,,,
6335,6335,16,,,
6595,6595,16,,,
6596,6596,834,,,
6889,6889,16,,,
7153,7153,16,,,
7404,7404,16,,,
7634,7634,16,,,
180,180,462,,,
437,437,1086,,,
438,438,1086,,,
888,888,1086,,,
1096,1096,1086,,,
1097,1097,1086,,,
1336,1336,1086,,,
1534,1534,1086,,,
1780,1780,449,,,
2042,2042,552,,,
2271,2271,1086,,,
2491,2491,1086,,,
2734,2734,1086,,,
3007,3007,1086,,,
3231,3231,1086,,,
3513,3513,1086,,,
3804,3804,1086,,,
3805,3805,1086,,,
4115,4115,1086,,,
4116,4116,1086,,,
4335,4335,1086,,,
4533,4533,1086,,,
4776,4776,1086,,,
4777,4777,1086,,,
5030,5030,1086,,,
5285,5285,999,,,
5286,5286,1086,,,
5542,5542,1086,,,
5781,5781,1058,,,
6072,6072,1086,,,
6073,6073,1086,,,
6074,6074,1086,,,
6299,6299,1086,,,
6552,6552,1086,,,
6842,6842,1086,,,
7106,7106,1086,,,
7107,7107,1086,,,
7108,7108,1086,,,
7354,7354,1086,,,
7355,7355,1086,,,
7595,7595,1086,,,
96,96,239,,,
342,342,239,,,
809,809,239,,,
1022,1022,757,,,
1254,1254,278,,,
1471,1471,239,,,
1690,1690,668,,,
1691,1691,337,,,
1945,1945,239,,,
2192,2192,917,,,
2413,2413,239,,,
2644,2644,239,,,
2645,2645,624,,,
2646,2646,239,,,
2914,2914,239,,,
3153,3153,917,,,
3402,3402,239,,,
3693,3693,239,,,
4010,4010,239,,,
4271,4271,744,,,
4467,4467,886,,,
4676,4676,295,,,
4677,4677,239,,,
4934,4934,239,,,
5192,5192,986,,,
5452,5452,239,,,
5700,5700,239,,,
5954,5954,757,,,
5955,5955,239,,,
6224,6224,239,,,
6450,6450,1150,,,
6740,6740,239,,,
7008,7008,239,,,
7274,7274,1266,,,
7516,7516,239,,,
88,88,17,,,
329,329,17,,,
800,800,17,,,
1015,1015,17,,,
1245,1245,1386,,,
1463,1463,17,,,
1678,1678,1386,,,
1934,1934,17,,,
1935,1935,1316,,,
2184,2184,17,,,
2404,2404,117,,,
2634,2634,1386,,,
2635,2635,17,,,
2905,2905,17,,,
3145,3145,17,,,
3392,3392,17,,,
3393,3393,1316,,,
3394,3394,17,,,
3681,3681,117,,,
3682,3682,17,,,
4000,4000,1316,,,
4001,4001,17,,,
4263,4263,17,,,
4460,4460,1278,,,
4660,4660,1386,,,
4661,4661,1316,,,
4662,4662,17,,,
4923,4923,17,,,
5182,5182,1386,,,
5441,5441,17,,,
5690,5690,1316,,,
5941,5941,1316,,,
5942,5942,1316,,,
6214,6214,1316,,,
6215,6215,17,,,
6439,6439,17,,,
6726,6726,1278,,,
6727,6727,17,,,
6998,6998,17,,,
7263,7263,17,,,
7264,7264,1278,,,
7508,7508,17,,,
56,56,1317,,,
57,57,1043,,,
296,296,1317,,,
772,772,1387,,,
988,988,1317,,,
1215,1215,782,,,
1216,1216,1317,,,
1439,1439,366,,,
1641,1641,1387,,,
1894,1894,118,,,
1895,1895,1387,,,
2155,2155,1317,,,
2376,2376,1317,,,
2599,2599,1387,,,
2600,2600,1317,,,
2868,2868,1317,,,
3116,3116,1317,,,
3345,3345,835,,,
3346,3346,717,,,
3642,3642,1317,,,
3957,3957,1317,,,
3958,3958,1387,,,
3959,3959,793,,,
4239,4239,851,,,
4433,4433,118,,,
4627,4627,1387,,,
4894,4894,1317,,,
4895,4895,1387,,,
5149,5149,118,,,
5150,5150,782,,,
5151,5151,1371,,,
5402,5402,1317,,,
5403,5403,1014,,,
5661,5661,1040,,,
5897,5897,1387,,,
6183,6183,1387,,,
6408,6408,1142,,,
6675,6675,1317,,,
6676,6676,1177,,,
6958,6958,1317,,,
7226,7226,1317,,,
7478,7478,1317,,,
54,54,1087,,,
292,292,18,,,
293,293,658,,,
769,769,1211,,,
770,770,18,,,
984,984,1087,,,
985,985,1307,,,
986,986,1442,,,
1213,1213,18,,,
1437,1437,18,,,
1639,1639,1211,,,
1891,1891,18,,,
1892,1892,18,,,
2153,2153,18,,,
2374,2374,18,,,
2595,2595,633,,,
2596,2596,1211,,,
2866,2866,18,,,
3114,3114,18,,,
3342,3342,633,,,
3343,3343,18,,,
3640,3640,18,,,
3955,3955,18,,,
4237,4237,1307,,,
4431,4431,1318,,,
4624,4624,18,,,
4891,4891,18,,,
5146,5146,1318,,,
5147,5147,18,,,
5400,5400,18,,,
5659,5659,1211,,,
5895,5895,18,,,
6181,6181,18,,,
6404,6404,1211,,,
6405,6405,1141,,,
6406,6406,18,,,
6672,6672,1211,,,
6673,6673,18,,,
6956,6956,18,,,
7222,7222,18,,,
7475,7475,1284,,,
236,236,1212,,,
237,237,759,,,
499,499,1212,,,
500,500,974,,,
